LABELS
SEPARATOR TAB

DATA
Unknown_sp_SZCCDBGH44	SZCCDBGH44
GNM002311545	Sulfitobacter sp. UBA1132
GNM002375285	Sulfitobacter pontiacus UBA3614
GNM004349575	Sulfitobacter pontiacus SAORIC-395
GNM022788675	Sulfitobacter pontiacus  strain=DSM 110277
Sulfitobacter_sp_15WGC	Sulfitobacter_sp_15WGC
Sulfitobacter_sp_HI0023	Sulfitobacter_sp_HI0023
Sulfitobacter_sp_HI0040	Sulfitobacter_sp_HI0040
Sulfitobacter_sp_HI0054	Sulfitobacter_sp_HI0054
Sulfitobacter_sp_HI0129	Sulfitobacter_sp_HI0129
Sulfitobacter_sp_KE29	Sulfitobacter_sp_KE29
Sulfitobacter_sp_KE31	Sulfitobacter_sp_KE31
Sulfitobacter_sp_Ks38	Sulfitobacter_sp_Ks38
Sulfitobacter_sp_S46	Sulfitobacter_sp_S46
GNM017743885	Sulfitobacter sp. R18_2
Sulfitobacter_mediterraneus_1FIGIMAR09	Sulfitobacter_mediterraneus_1FIGIMAR09
Sulfitobacter_mediterraneus_2-1	Sulfitobacter_mediterraneus_2-1
Sulfitobacter_mediterraneus_2-11	Sulfitobacter_mediterraneus_2-11
Sulfitobacter_mediterraneus_2-12	Sulfitobacter_mediterraneus_2-12
Sulfitobacter_mediterraneus_2-13	Sulfitobacter_mediterraneus_2-13
Sulfitobacter_mediterraneus_2-14	Sulfitobacter_mediterraneus_2-14
Sulfitobacter_mediterraneus_2-3	Sulfitobacter_mediterraneus_2-3
Sulfitobacter_mediterraneus_2-4	Sulfitobacter_mediterraneus_2-4
Sulfitobacter_mediterraneus_2-5	Sulfitobacter_mediterraneus_2-5
Sulfitobacter_mediterraneus_2-6	Sulfitobacter_mediterraneus_2-6
Sulfitobacter_mediterraneus_2-7	Sulfitobacter_mediterraneus_2-7
Sulfitobacter_mediterraneus_2-8	Sulfitobacter_mediterraneus_2-8
Sulfitobacter_mediterraneus_2-81	Sulfitobacter_mediterraneus_2-81
Sulfitobacter_mediterraneus_2-82	Sulfitobacter_mediterraneus_2-82
Sulfitobacter_mediterraneus_2-83	Sulfitobacter_mediterraneus_2-83
