LABELS
SEPARATOR TAB

DATA
GNM000011965	Ruegeria pomeroyi DSS-3
GNM013032875	HKCCA0510
GNM013032905	HKCCD6459
GNM013032925	HKCCA0240
GNM013032945	HKCCA0154
GNM013032955	HKCCA0806
GNM013032965	HKCCA0712
GNM013033005	HKCCA0302-2
GNM013033025	HKCCA0302
GNM013033045	HKCCA0209
GNM013033065	HKCCA0158
GNM013033075	HKCCA0219
GNM013033105	HKCCA0044
GNM013033145	HKCCA0310
GNM013033155	HKCCA0503
GNM013033185	HKCCA0238
GNM013033205	HKCCA0208
GNM013033215	HKCCA0065
GNM013033245	HKCCA0214
GNM013033285	HKCCA6631
GNM013033305	HKCCA6666
GNM013033315	HKCCA6670
GNM013033345	HKCCA6553
GNM013033355	HKCCA6521
GNM013033385	HKCCA6043
GNM013033395	HKCCA6064
GNM013033425	HKCCA6437
GNM013033445	HKCCA6041
GNM013033465	HKCCA0501
GNM013033475	HKCCA0037
GNM013033545	HKCCA6604
GNM013033555	HKCCA6601
GNM013033575	HKCCA6533
GNM013033605	HKCCA6172
GNM013033625	HKCCA0468
GNM013033635	HKCCA6259
GNM013033665	HKCCA6158
GNM013033675	HKCCA0466
GNM013033725	HKCCC1165
GNM013033735	HKCCA4909
GNM013033765	HKCCC2122
GNM013033775	HKCCC2131
GNM013033805	HKCCC1591
GNM013033815	HKCCC1522
GNM013033845	HKCCC1043
GNM013033855	HKCCC1047
GNM013033885	HKCCA6783
GNM013033895	HKCCA5983
GNM013033925	HKCCA5917
GNM013033945	HKCCA5816
GNM013033955	HKCCA5916
GNM013033965	HKCCA5752
GNM013034005	HKCCA5794
GNM013034025	HKCCA5693
GNM013034045	HKCCA5511
GNM013034055	HKCCA5681
GNM013034065	HKCCA5689
GNM013034105	HKCCA5505
GNM013034125	HKCCA5489
GNM013034145	HKCCA5460
GNM013034165	HKCCA5280
GNM013034185	HKCCA5454
GNM013034225	HKCCA5270
GNM013034255	HKCCA4748
GNM013034275	HKCCA4749
GNM013034305	HKCCA4785
GNM013034325	HKCCA4717
GNM013034335	HKCCA4742
GNM013034355	HKCCA4710
GNM013034375	HKCCA4709
GNM013034395	HKCCA4716
GNM013034425	HKCCA4692
GNM013034645	HKCCC2121
GNM013034665	HKCCC1588
GNM013034675	HKCCC1285
GNM013034685	HKCCC1264
GNM013034725	HKCCC1266
GNM013034745	HKCCC1251
GNM013034755	HKCCC1212
GNM013034775	HKCCC1208
GNM013034805	HKCCC1182
GNM013034815	HKCCC1157
GNM013034825	HKCCA6346
GNM013034845	HKCCA5738
GNM013034855	HKCCA5755
GNM013034905	HKCCA5649
GNM013034915	HKCCA5663
GNM013034945	HKCCA4796
GNM013034955	HKCCA5019
GNM013034975	HKCCA5416
GNM013035005	HKCCA4756
GNM013035025	HKCCA6764
GNM013035045	HKCCA6269
GNM013035055	HKCCA5932
GNM013035065	HKCCA5930
GNM013035085	HKCCA5923
GNM013035125	HKCCA5915
GNM013035145	HKCCA5708
GNM013035165	HKCCA5725
GNM013035175	HKCCA5403
GNM013035185	HKCCA5546
GNM013035225	HKCCA5369
GNM013035235	HKCCA5275
GNM013035265	HKCCA4685
GNM013035275	HKCCC2149
GNM013035305	HKCCA4775
GNM013035315	HKCCA4777
GNM013035325	HKCCC2136
GNM013035365	HKCCC1226
GNM013035375	HKCCC1288
GNM013035395	HKCCC1250
GNM013035425	HKCCC1153
GNM013035435	HKCCC1088
GNM013035465	HKCCA6196
GNM013035485	HKCCA6308
GNM013035525	HKCCA5940
GNM013035545	HKCCA5913
GNM013035565	HKCCA5751
GNM013035605	HKCCA5690
GNM013035615	HKCCA5777
GNM013035625	HKCCA5739
GNM013035655	HKCCA5687
GNM013035685	HKCCA5680
GNM013035705	HKCCA5471-2
GNM013035715	HKCCA5588
GNM013035745	HKCCA5471
GNM013035755	HKCCA5443
GNM013035785	HKCCA5371
GNM013035805	HKCCA4945
GNM013035845	HKCCA4824
GNM013035855	HKCCA4830
GNM013035865	HKCCA4852
GNM013035905	HKCCA4698
GNM013035915	HKCCA4776
GNM013035945	HKCCA4734
GNM013035955	HKCCA4608
GNM013035965	HKCCA4609
GNM013036025	HKCCA1383-2
GNM013110645	HKCCD6238
GNM013110705	HKCCD6181
GNM013373705	Ruegeria pomeroyi HF-Din03	MAG
GNM013373735	Ruegeria pomeroyi HF-Dia28	MAG
GNM017872495	HKCCE4148
GNM017872515	HKCCE3926
GNM017872535	HKCCSP351
GNM017872545	HKCCSP335
GNM017872555	HKCCSA071
GNM017872595	HKCCSP346
GNM017872615	HKCCE4150
GNM018619345	Ruegeria litorea 4E07
GNM018678055	Ruegeria litorea 5C01
GNM018972145	Ruegeria pomeroyi DSS-3-B
GNM019801065	Ruegeria arenilitoris DP3N14-3
GNM019904295	Ruegeria sp. SCSIO 43209 SCSIO 43209
GNM020171305	Ruegeria marisrubri DP4N0-4
GNM020171505	Ruegeria profundi DP1N0-1
GNM020524465	Ruegeria profundi DP7Y7-4
GNM020524825	Ruegeria arenilitoris DP6N0-3
GNM021405365	HKCCSP326
GNM021405385	HKCCSA032
GNM021405405	HKCCSP003
GNM021405425	HKCCM208
GNM021405465	SZCCDBAO042
GNM021405485	SZCCDBG002
GNM021405505	SZCCDBD003
GNM021405525	SZCCDBG043
GNM021405545	SZCCDBF007
GNM021405555	SZCCDBB064
GNM022321465	Ruegeria sp. 1NDH52C
GNM022347725	Ruegeria sp. Ofav3-42 Ofav3-42
GNM023502395	Ruegeria sp. 2012CJ41-6 2012CJ41-6
